Store code,Business name,Address,Labels,Google Search - Mobile,Google Search - Desktop,Google Maps - Mobile,Google Maps - Desktop,Calls,Messages,Bookings,Directions,Website clicks,Food orders,Food menu clicks,Hotel bookings
HYDAmeerpet,"Partha Dental Clinic - Ameerpet, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Best Dental Clinic","Above Health & Glow, Opp. MCH Sports Complex, Dharam Karam Road, Ameerpet, Hyderabad, Telangana 500016",,1852,396,1089,293,117,0,0,223,13,0,0,0
HYDKothapet,"Partha Dental Clinic - Kothapet, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Dental Implants","JVR Tower, New Nagole Main Road, beside Omni Hospital, Kothapet, Hyderabad, Telangana 500035",,939,116,742,252,49,0,0,103,7,0,0,0
APTirupati,"Partha Dental Clinic Tirupati | దంత వైద్యశాల | Invisalign Provider, Braces, RCT & Dental Implants","Opp. Srinivasam, Behind RTC Bus Stand, P.K. Layout, Tirupati, Andhra Pradesh 517501","Partha Dental Clinic, Tirupati",2214,241,1042,76,223,0,0,403,36,0,0,0
PDAdoni,"Partha Dental Clinic – Adoni | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Opp Municipal Office, Vishwa Hindu Parshit Building, Main Road, Adoni, Andhra Pradesh 518301",,355,31,222,26,38,0,0,55,9,0,0,0
PDRTC Bus Stand,"Partha Dental Clinic – RTC Bus Stand, Kurnool | దంత వైద్యశాల | Best Dental Clinic in Kurnool | Invisalign Provider","Above SBI Bank, Opp. Edga, Beside Medicover hospital, Kurnool, Andhra Pradesh 518004",,684,75,277,38,22,0,0,52,10,0,0,0
PDChirala,"Partha Dental Clinic – Chirala | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Above IDBI Bank, Near Aakruthi shopping mall, Station Road, Chirala, Andhra Pradesh 523157","Partha Dental Clinic, Chirala",540,36,229,25,39,0,0,81,5,0,0,0
PDBanjaraHills,"Partha Dental Clinic - Banjara Hills, Hyderabad","Opp lane to Lucid Diagnostics, Road Number 2, Behind Star Maa, Banjara Hills, Hyderabad, Telangana 500034","best dental chain, best dental clinic, best dentist, dental clinic, dental clinic near me, dentist, dentist near me",1139,330,779,303,24,0,0,93,11,0,0,0
PDUttarahalli,"Partha Dental Clinic -Uttarahalli, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Beside Shani Mahatma Temple, Opp. Brigade Vista Apts, Subramanayapura Main, Uttarahalli, Bangalore, Karnataka 560061","best dental clinic in uttarahalli, best dentist in uttarahalli, dental clinic, dental clinic near me, dentist near me",1127,179,517,130,37,0,0,125,6,0,0,0
HYDHimayatNagar,"Partha Dental Clinic | Best Dental Clinic in Himayatnagar, Hyderabad | Aligners, Braces, RCT & Dental Implants","Next to TTD Temple, Opp Dadus, Liberty X  Road, Himayat Nagar, Hyderabad, Telangana 500029",,938,171,657,303,60,0,0,103,9,0,0,0
PDHanmakonda,Partha Dental Clinic - Hanamkonda | దంత వైద్యశాల | Invisalign Provider,"Opp. Vijaya Talkies, Kakaji Nagar, Hanamkonda, Telangana 506001",,684,80,425,83,35,0,0,42,5,0,0,0
PDJPNagar,"Partha Dental Clinic - JP Nagar, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Opp to Brigade Millennium, Near RBI Layout, 7th Phase, J P Nagar, Bangalore, Karnataka 560078","Partha Dental Skin Hair Clinic - JP Nagar, Bangalo",1308,211,491,126,38,0,0,78,8,0,0,0
PDGajuwaka,"Partha Dental Clinic – Gajuwaka, Vizag | Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Above Raymond shop, Beside Anakapally Bus stop, Old Gajuwaka Junction, Gajuwaka, Visakhapatnam, Andhra Pradesh 530026","Partha Dental, Gajuwaka",630,54,383,51,36,0,0,101,8,0,0,0
APGuntur  Lakshmipuram,"Partha Dental Clinic – Lakshmipuram, Guntur | దంత వైద్యశాల | Invisalign Provider | Aligners, RCT & Implants","Opp. Max Showroom, Above Indian Terrain, Lakshmipuram Main Road,, Guntur, Andhra Pradesh 522007","Partha Dental Clinic - Lakshmipuram, Guntur",559,101,368,63,54,0,0,73,4,0,0,0
PDGurunanakRoad,Partha Dental Clinic,"Beside City Union Bank, Gurunanak Colony, Vijayawada, Andhra Pradesh 520008","Partha Dental, Gurunanak Road, Vijayawada",661,106,361,123,35,0,0,95,10,0,0,0
PDMuraliNagar,Partha Dental Clinic – Murali Nagar | Best Dental Clinic in Vizag | Invisalign Provider,"Above Spencer Super Market, Opp. Bank of India, Murali Nagar, Madhavadhara, Visakhapatnam, Andhra Pradesh 530007","Dental Clinic, Dental Implant Clinic",869,91,283,70,31,0,0,84,7,0,0,0
PDSrikakulam,"Partha Dental Clinic – Srikakulam | దంత వైద్యశాల | Invisalign Provider | Braces, RCT & Dental Implant Centre","Above Vivo Show Room, Opp. Reliance Trends, Day & Night Junction, Srikakulam, Andhra Pradesh 532001",,714,38,674,45,26,0,0,56,5,0,0,0
APKurnool,"Partha Dental Clinic – Gayatri Estates, Kurnool | దంత వైద్యశాల | Best Dentist In Kurnool | Invisalign Provider","R27Q+8QF Kurnool, Andhra Pradesh, Gayathri Estates, Beside SBI Bank, Viswa Bharathi Hospital Line, Kurnool, Andhra Pradesh 518001","Partha Dental Clinic - Kurnool, Andhra Pradesh",1063,99,417,51,79,0,0,67,10,0,0,0
PDBellandur,"Partha Dental Clinic - Bellandur, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Kanti Sweets & Axis Bank ATM, Beside Coffee Day, Bellandur, Bengaluru, Karnataka 560103",Above Kanti Sweets & Axis Bank ATM,1353,278,1223,235,33,0,0,97,8,0,0,0
PDSunCity,"Partha Dental Clinic - Sun City, Hyderabad | దంత వైద్యశాల |Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Opp. Bata Show Room, Sun City Main Road, Bandlaguda, Hyderabad, Telangana 500031","Partha Dental - Sun City, Bandlaguda, Hyderabad",691,91,606,97,76,0,0,101,5,0,0,0
PDBhimavaram,"Partha Dental Clinic – Bhimavaram | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Opp. Malabar Gold & Diamonds, Beside Abhiruchi hotel, Juvvalapalem Road, Bhimavaram, Andhra Pradesh 534202","Dentist Bhimavaram, Partha Dental Clinic Bhimavaram",488,34,253,39,38,0,0,90,10,0,0,0
PDDoddanekkundi,"Partha Dental Clinic -Doddanekkundi, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","XMGW+5MC Bengaluru, Karnataka, Bengaluru, Karnataka 560048","Beside HP Petrol Bunk, Opp. Rainbow Hospital,",1190,228,873,165,60,0,0,139,8,0,0,0
HYDKPHB,"Partha Dental Clinic - KPHB, Kukatpally | Aligners, Braces, Root Canal & Dental Implants","Opp JNTU Main Gate, Above ICICI Bank, KPHB Colony, Hyderabad, Telangana 500072",,1315,331,911,307,106,0,0,298,14,0,0,0
PDMadanapalle,"Partha Dental Clinic – Madanapalle | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Opp. Union Bank, CTM Road, Madanapalle, Andhra Pradesh 517325",,872,53,418,17,86,0,0,125,7,0,0,0
APVIZAG NAD JN,Partha Dental Clinic – NAD Junction | Best Dentist in Vizag,"Above Alfa Hotel, NAD Junction, Gopalapatnam Road, Visakhapatnam, Andhra Pradesh 530027",,1114,78,448,53,73,0,0,71,6,0,0,0
PDBotanicalGardenRoad,Partha Dental Clinic | Best Dental Clinic in Kondapur,"F963+G63 Hyderabad, Telangana, opposite FB bakery, near Government Hospital, Kondapur, Sri Ram Nagar, Masidbanda, Hyderabad, Telangana 500084","best dental clinic, best dental clinic in kondapur, best dentist, dental clinic near me, dentist near me",581,190,464,104,23,0,0,90,10,0,0,0
PDQcity,"Partha Dental Clinic | Best Dental Clinic in Q city, Hyderabad","TNGO’s Colony, My Home Vihanga Road, Behind Q City, Gachibowli, Hyderabad, Telangana 500032",,561,116,718,103,78,0,0,89,10,0,0,0
PDAnantapur,"Partha Dental Clinic – Anantapur | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Sai Nitin Complex, Sapthagiri Circle, Anantapur, Andhra Pradesh 515001",,1116,54,522,26,64,0,0,97,7,0,0,0
PDWhitefield,"Partha Dental Clinic -Whitefield, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Whitefield Main Road, above Bandhan Bank, next to Whitefield Police Station, Sathya Sai Layout, Bengaluru, Karnataka 560066",,784,207,962,164,79,0,0,210,15,0,0,0
HYDHabsiguda,"Partha Dental Clinic - Habsiguda, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Sai Manjeera Complex, Above More Super Market, Street No: 8, Habsiguda, Hyderabad, Telangana 500007","Partha Dental Clinic, Habsiguda, Hyderabad",507,153,468,203,45,0,0,88,9,0,0,0
HYDSantoshNagar,"Partha Dental Clinic - Santosh Nagar, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces & Dental Implants","Above Agarwal Eye Hospital, beside Yadagiri Theater, Santosh Nagar, Hyderabad, Telangana 500059",,506,55,466,99,58,0,0,99,6,0,0,0
PDNagarbhavi,"Partha Dental Clinic - Nagarbhavi, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Vaibhav Restaurant, Near Nammoora Thindi Hotel, Naagarbhavi, Bengaluru, Karnataka 560072",,1293,119,573,163,42,0,0,100,6,0,0,0
PDKavali,"Partha Dental Clinic – Kavali | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Opp. TTD Kalyana Mandapam, GT Road, Kavali, Andhra Pradesh 524201",,312,42,123,11,17,0,0,33,3,0,0,0
PDSrikalahasti,Partha Dental Clinic – Srikalahasti | దంత వైద్యశాల | Invisalign Provider | Braces & Dental Implant Centre,"Above Celect Mobiles, Opp. Indian Bank, Nagari Street, Srikalahasti, Andhra Pradesh 517644",,355,33,251,27,22,0,0,66,6,0,0,0
PDDasarahalli,"Partha Dental Clinic - Dasarahalli, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Axis Bank & Kanti Sweets, Beside Adishwar Showroom, Tumkur Road, T-Dasarahalli, Bengaluru, Karnataka 560057",,1962,196,1051,162,141,0,0,224,23,0,0,0
PDBoduppal,"Partha Dental Clinic - Boduppal, Hyderabad | దంత వైద్యశాల |Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Opp. Union Bank, Warangal Hwy, Peerzadiguda, Hyderabad, Telangana 500098",,505,65,515,67,66,0,0,136,4,0,0,0
PDMangalagiri,Partha Dental Clinic – Mangalagiri | దంత వైద్యశాల | Invisalign Provider | Root Canal & Dental Implants,"Opp. Municipal Office, G.B road, Mangalagiri, Andhra Pradesh 522503",Partha Dental Clinic Mangalagiri,346,40,332,44,17,0,0,55,5,0,0,0
PDAlwal,"Partha Dental Clinic - Alwal, Hyderabad – | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Above Lenskart, Temple Alwal Road, Old Alwal, Secunderabad, Telangana 500010",,609,80,499,100,49,0,0,111,9,0,0,0
HYDVivekanandaNagarColony,"Partha Dental Clinic - Vivekananda Nagar, Kukatpally | దంత వైద్యశాల |Invisalign Provider","Above Lenskart, Beside Reliance Fresh,Vivekananda Nagar, Hyderabad, Telangana 500072",,340,100,443,246,22,0,0,90,3,0,0,0
PDVidyaranyapura,"Partha Dental Clinic -Vidyaranyapura, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","HMT Layout, 4th Block, Opp. Corporation Bank, Vidyaranyapura Main Road, Bengaluru, Karnataka 560097",,857,132,372,121,25,0,0,68,5,0,0,0
PDNagole,"Partha Dental Clinic - Nagole, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, Root Canal & Implants","Opp. Mody Ford Show Room, Bandlaguda, Nagole, Hyderabad, Telangana 500068",,293,39,301,49,44,0,0,97,2,0,0,0
PDWarangal,"Partha Dental Clinic - Warangal | దంత వైద్యశాల |Invisalign Provider | Aligners, Braces, Root Canal & Dental Implants","Above ICICI Bank, Beside SBI Zonal Office, Warangal Central Complex, Warangal, Telangana 506002",,811,58,286,76,32,0,0,81,13,0,0,0
APVizag Ramatalkies,"Partha Dental Clinic – Ramatalkies, Vizag | Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Above Hyundai Car Showroom, Near Rama Talkies center, Visakhapatnam, Andhra Pradesh 530003",,1383,226,552,96,61,0,0,88,16,0,0,0
PDJubileeHills,Partha Dental Clinic | Best Dental Clinic in Jubilee Hills,"Above Axis Bank, Beside Ratnadeep supermarket, Road No: 10, Jubilee Hills, Hyderabad, Telangana 500033","Best dental Clinic, Dentist, Dentist near me, best dental clinic in jubilee hills, dental clinic, dentist near me",832,309,688,271,39,0,0,87,9,0,0,0
HYDVanasthalipuram,Partha Dental Clinic - Vanastalipuram | దంత వైద్యశాల | Invisalign Provider | Best Dental Clinic in Hyderabad,"Opp. Jeevan Sai Hospital, Double Road, Vanasthalipuram, Hyderabad, Telangana 500070",,713,136,600,240,85,0,0,135,8,0,0,0
PDNalgonda,"Partha Dental Clinic - Nalgonda | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, Root Canal & Implants","opp. Suraksha Hospital, Nataraj Theatre Road, Bottu Guda, Nalgonda, Telangana 508001",,510,42,220,28,22,0,0,55,7,0,0,0
PDGudur,"Partha Dental Clinic – Guduru | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Balaji Mobiles, DBR Plaza, Opp. Sangam Theater, GNT Road, Gudur, Andhra Pradesh 524101",,192,36,169,19,10,0,0,63,3,0,0,0
PDEluru,Partha Dental Clinic – Eluru | దంత వైద్యశాల | Invisalign Provider | Root Canal & Dental Implants Centre,"Opp. Tanishq Jewellers, Rama Mahal Center, R.R.Peta, Eluru, Andhra Pradesh 534002",,668,51,420,32,44,0,0,91,4,0,0,0
PDLBNAGAR,"Partha Dental Clinic - LB Nagar, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Beside Chutneys Restaurant, Next to Croma showroom, L B Nagar, Hyderabad, Telangana 500074",,782,102,597,99,69,0,0,177,8,0,0,0
PDHindupur,"Partha Dental Clinic – Hindupur | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Union Bank, Near Lakshmi Talkies, Dhana Lakshmi Road, Hindupur, Andhra Pradesh 515201",,613,29,446,24,39,0,0,90,2,0,0,0
PDKarimnagar,"Partha Dental Clinic - Karimnagar | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, Root Canal & Dental Implants","Above Annapurna tiffin centre, Besides Veera Reddy Hospital,doctors street, Azmath Pura, Karimnagar, Telangana 505001",,618,52,501,53,83,0,0,75,8,0,0,0
PDBasavanagudi,"Partha Dental Clinic - Basavanagudi, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Indian Bank, Gandhi Bazaar Main Rd, Beside Corporation Bank, Basavanagudi, Bangalore, Karnataka 560004","Above Indian Bank, Beside Corporation Bank, Gandhi",1878,272,826,337,41,0,0,117,19,0,0,0
PDThoraipakkam,"Partha Dental Clinic -Thoraipakkam, Chennai| Invisalign Provider | Braces, Root Canal & Dental Implants","Above Gupta Bhavan, Opp. Thalapakatti, Infront of puravankara IT, Rajiv Ghandi Road, Thoraipakkam, Chennai, Tamil Nadu 600097","Clear Aligners clinic in Thoraipakkam, Dental Clinic in Thoraipakkam, Dental Hospital in Thoraipakkam, Dental Implants clinic in Thoraipakkam, Dentist in Thoraipakkam, Hair Transplant Clinic in Thoraipakkam",302,70,281,60,19,0,0,87,4,0,0,0
PDProddatur,"Partha Dental Clinic – Proddatur | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Karur Vysya Bank, Gandhi Road, above muthoot finance, Venkateswara Pet, Proddatur, Andhra Pradesh 516360",,860,43,340,34,48,0,0,74,12,0,0,0
HYDNallakunta,"Partha Dental Clinic - Nallakunta, Hyderabad | దంత వైద్యశాల |Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Opp HDFC Bank, Near Shankar Mutt, Nallakunta, Hyderabad, Telangana 500044",,420,52,427,165,34,0,0,77,3,0,0,0
PDMancherial,"Partha Dental Clinic - Mancherial | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, Root Canal & Dental Implants","Opp. SBI Main Branch, Highway Road, Mancherial, Telangana 504208",,326,38,227,18,14,0,0,64,3,0,0,0
PDMalkajgiri,"Partha Dental Clinic - Malkajgiri, Secunderabad | దంత వైద్యశాల | Invisalign Provider | Braces, RCT & Dental Implants","beside Canara Bank, opp. Bata Showroom, Malkajgiri, Secunderabad, Telangana 500047",,557,81,365,125,34,0,0,67,5,0,0,0
APGuntur Kothapeta,"Partha Dental Clinic – Kothapet, Guntur | దంత వైద్యశాల | Invisalign Provider | Braces, RCT & Implants","Doctor's Plaza, Beside Reliance Fresh, Kothapeta Main Road, Guntur, Andhra Pradesh 522201","Partha Dental Clinic - Kothapet, Guntur",1076,144,443,86,36,0,0,79,15,0,0,0
PDMadhurawada,"Partha Dental Clinic – Madhurawada, Vizag | Invisalign Provider | Aligners, Braces, RCT & Implants","Opp. Delhi Public School, Beside Hanuman Temple, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",,507,65,314,50,35,0,0,57,4,0,0,0
PDShilpavalley,"Partha Dental Clinic | Camelot Layout | Invisalign Provider | Braces , RCT","F8JX+4XG Hyderabad, Telangana, 2nd Floor, Narne Estate Road - Circle, Kantivanam Colony, Near My Home Mangala, Camelot Layout,, ‎ Hyderabad, Telangana 500084",,230,71,327,157,19,0,0,45,6,0,0,0
PDRamamurthyNagar,"Partha Dental Clinic - Ramamurthy Nagar, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Poorvika Mobiles, Opp. Adiswar Showroom, Ramamurthy Nagar, Bengaluru, Karnataka 560016","Partha Dental, Ramamurthy Nagar",1165,157,620,123,57,0,0,154,10,0,0,0
PDNarasaraopet,"Partha Dental Clinic – Narasaraopet | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Beside Mother Theresa Hospital, Palnadu bus stand, Narasaraopeta, Andhra Pradesh 522601","Dental Clinic, Dentist",390,27,250,26,13,0,0,80,7,0,0,0
HYDManikonda,Partha Dental Clinic | Best Dental Clinic in Manikonda,"Near SBI Bank, Water pipeline Road, Manikonda, Hyderabad, Telangana 500089",,567,174,553,119,67,0,0,112,2,0,0,0
PDVizianagaram,"Partha Dental Clinic – Vizianagaram | దంత వైద్యశాల | Invisalign Provider | Aligners, RCT & Dental Implants","Beside Sree Krishna Bhavan Hotel, Near Kota Junction, Ziddu Vari Street, Vizianagaram, Andhra Pradesh 535002",Dental Clinic,793,46,284,26,28,0,0,56,1,0,0,0
HYDRajeevNagar,"Partha Dental Clinic - Rajeev Nagar, Hyderabad | దంత వైద్యశాల |Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Above Hdfc Bank, Rajeev nagar x Roads, Hyderabad, Telangana 500018",,420,77,581,94,32,0,0,92,5,0,0,0
PDHSRLayout,Partha Dental Clinic,"Beside Cars24 Showroom, Next to Tawa Ghar Ka Restaurant, HSR Layout, Bengaluru, Karnataka 560102",PDHSRLayout,975,202,530,138,26,0,0,106,10,0,0,0
APVijayawada Eluru Road,"Partha Dental Clinic – Eluru Road, Vijayawada | దంత వైద్యశాల | Invisalign Provider | Root Canal","Sri Surya Towers, Opposite Dominos Pizza, Seetharampuram Signals, Eluru Road, Vijayawada, Andhra Pradesh 520002","Partha Dental Clinic - Eluru Road, Vijayawada",1648,235,873,165,79,0,0,164,19,0,0,0
PDMadinaguda,"Partha Dental Clinic - Madinaguda, Hyderabad | Invisalign Provider | Aligners, Braces, RCT & Implants","Suresh Square, above Apollo Clinic, beside Pranaam Hospital Lane, Madeenaguda, Telangana 500050",,701,151,576,127,69,0,0,110,5,0,0,0
PDMVPColony,Partha Dental Clinic – MVP Colony | Best Dental Clinic in Vizag,"Beside Pollocks School, MVP Double Rd, Visakhapatnam, Andhra Pradesh 530017",,1395,164,464,70,29,0,0,56,6,0,0,0
PDMadhapur,Partha Dental Clinic | Best Dental Clinic in Madhapur,"Above Pizza Hut, opp. Karachi Bakery, Hitech City Road, Madhapur, Telangana 500081",,717,249,977,154,79,0,0,187,6,0,0,0
PDBannerghattaRoad,"Partha Dental Clinic - Bannerghatta Road Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Behind Royal Meenakshi Mall, Opp. Cave Temple & Hulimavu Police Station, Bannerghatta Road, Bangalore, Karnataka 560076",,1336,201,673,150,42,0,0,134,13,0,0,0
PDHayathnagar,"Partha Dental Clinic - Hayathnagar, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Above SBI Bank, Opp.more Supermarket, Hayathnagar, Telangana 501505",,378,39,411,64,45,0,0,138,5,0,0,0
PDKothagudem,"Partha Dental Clinic - Kothagudem | దంత వైద్యశాల |Invisalign Provider | Aligners, Braces, Root Canal & Dental Implants Centre","Opp. Ganesh Temple, M G road, Kothagudem, Telangana 507101",Partha Dental Clinic Kothagudem,267,19,142,16,16,0,0,65,3,0,0,0
APNellore,"Partha Dental Clinic – Nellore | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Opp. LIC Office, Near Babu Ice Cream, Brindavanam, Nellore, Andhra Pradesh 524001","Partha Dental Clinic, Nellore",423,82,281,81,22,0,0,48,9,0,0,0
PDVadapalani,"Partha Dental Clinic -Vadapalani, Chennai | Invisalign Provider | Braces, Root Canal & Dental Implants","Beside Vasanta Bhavan, Near Thiru Nagar Bus Stop, Opp. Hyundai Showroom, JN Salai, Vadapalani, Chennai, Tamil Nadu 600026","Partha Dental Skin Hair Clinic Vadapalani, Chennai",780,144,355,72,24,0,0,105,9,0,0,0
PDTenali,"Partha Dental Clinic – Tenali | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Near Lakshmi Theatre, Prakasham road, Near RTC Bus stand, Tenali, Andhra Pradesh 522201","Partha Dental Clinic, Tenali",876,55,350,35,45,0,0,39,6,0,0,0
HYDChampapet,"Partha Dental Clinic - Champapet, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Opp Sama Narsimha Reddy Gardens, APSRTC Officers Colony, Champapet, Hyderabad, Telangana 500079",,379,70,424,136,42,0,0,93,5,0,0,0
HYDPadmaraoNagar,"Partha Dental Clinic - Padmarao Nagar, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Braces, RCT & Dental Implants","Above Ratnadeep Super Market, Near park, Padmarao Nagar, Hyderabad, Telangana 500025",,680,106,623,173,56,0,0,121,9,0,0,0
