Store code,Business name,Address,Labels,Google Search - Mobile,Google Search - Desktop,Google Maps - Mobile,Google Maps - Desktop,Calls,Messages,Bookings,Directions,Website clicks,Food orders,Food menu clicks,Hotel bookings
PDKoramangala,"Partha Dental Clinic - Koramangala, Bangalore| Invisalign Provider | Braces, Root Canal & Dental Implants","80 Feet Road, above Mega IT, beside Namdhari Fresh, Koramangala, Bengaluru, Karnataka 560095","Partha Dental Skin Hair Clinic - Koramangala, Beng",763,186,685,187,29,0,0,144,6,0,0,0
PDNandyal,"Partha Dental Clinic – Nandyala | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Opp. Shankar villas hotel, Near Chandana brothers, Atmakur road, Nandyal, Andhra Pradesh 518501",,812,41,392,29,29,0,0,58,10,0,0,0
HYDDilsukhnagar,Partha Dental Clinic | Dilsukhnagar | Best Dental Clinic in Hyderabad,"Opp. Muthoot Fincorp, Near Shalivahana Hospital, Shalivahana Nagar, Dilsukhnagar, Hyderabad, Telangana 500036","Partha Dental Clinic - Dilsukhnagar, Hyderabad",991,176,675,172,75,0,0,159,8,0,0,0
HYDAmeerpet,"Partha Dental Clinic - Ameerpet, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Best Dental Clinic","Above Health & Glow, Opp. MCH Sports Complex, Dharam Karam Road, Ameerpet, Hyderabad, Telangana 500016",,2019,412,1146,270,107,0,0,222,12,0,0,0
HYDKothapet,"Partha Dental Clinic - Kothapet, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Dental Implants","JVR Tower, New Nagole Main Road, beside Omni Hospital, Kothapet, Hyderabad, Telangana 500035",,943,128,714,207,48,0,0,137,8,0,0,0
APTirupati,"Partha Dental Clinic Tirupati | దంత వైద్యశాల | Invisalign Provider, Braces, RCT & Dental Implants","Opp. Srinivasam, Behind RTC Bus Stand, P.K. Layout, Tirupati, Andhra Pradesh 517501","Partha Dental Clinic, Tirupati",2504,219,1115,78,243,0,0,399,45,0,0,0
PDAdoni,"Partha Dental Clinic – Adoni | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Opp Municipal Office, Vishwa Hindu Parshit Building, Main Road, Adoni, Andhra Pradesh 518301",,414,30,262,14,37,0,0,34,4,0,0,0
PDRTC Bus Stand,"Partha Dental Clinic – RTC Bus Stand, Kurnool | దంత వైద్యశాల | Best Dental Clinic in Kurnool | Invisalign Provider","Above SBI Bank, Opp. Edga, Beside Medicover hospital, Kurnool, Andhra Pradesh 518004",,727,85,325,36,16,0,0,93,5,0,0,0
PDChirala,"Partha Dental Clinic – Chirala | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Above IDBI Bank, Near Aakruthi shopping mall, Station Road, Chirala, Andhra Pradesh 523157","Partha Dental Clinic, Chirala",601,55,259,16,31,0,0,50,8,0,0,0
PDBanjaraHills,"Partha Dental Clinic - Banjara Hills, Hyderabad","Opp lane to Lucid Diagnostics, Road Number 2, Behind Star Maa, Banjara Hills, Hyderabad, Telangana 500034","best dental chain, best dental clinic, best dentist, dental clinic, dental clinic near me, dentist, dentist near me",1159,300,779,263,28,0,0,101,17,0,0,0
PDUttarahalli,"Partha Dental Clinic -Uttarahalli, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Beside Shani Mahatma Temple, Opp. Brigade Vista Apts, Subramanayapura Main, Uttarahalli, Bangalore, Karnataka 560061","best dental clinic in uttarahalli, best dentist in uttarahalli, dental clinic, dental clinic near me, dentist near me",1286,87,516,105,34,0,0,47,11,0,0,0
HYDHimayatNagar,"Partha Dental Clinic | Best Dental Clinic in Himayatnagar, Hyderabad | Aligners, Braces, RCT & Dental Implants","Next to TTD Temple, Opp Dadus, Liberty X  Road, Himayat Nagar, Hyderabad, Telangana 500029",,953,144,686,277,41,0,0,135,6,0,0,0
PDHanmakonda,Partha Dental Clinic - Hanamkonda | దంత వైద్యశాల | Invisalign Provider,"Opp. Vijaya Talkies, Kakaji Nagar, Hanamkonda, Telangana 506001",,905,90,446,47,42,0,0,80,13,0,0,0
PDJPNagar,"Partha Dental Clinic - JP Nagar, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Opp to Brigade Millennium, Near RBI Layout, 7th Phase, J P Nagar, Bangalore, Karnataka 560078","Partha Dental Skin Hair Clinic - JP Nagar, Bangalo",1426,160,514,113,36,0,0,95,2,0,0,0
PDGajuwaka,"Partha Dental Clinic – Gajuwaka, Vizag | Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Above Raymond shop, Beside Anakapally Bus stop, Old Gajuwaka Junction, Gajuwaka, Visakhapatnam, Andhra Pradesh 530026","Partha Dental, Gajuwaka",810,46,452,47,59,0,0,75,3,0,0,0
APGuntur  Lakshmipuram,"Partha Dental Clinic – Lakshmipuram, Guntur | దంత వైద్యశాల | Invisalign Provider | Aligners, RCT & Implants","Opp. Max Showroom, Above Indian Terrain, Lakshmipuram Main Road,, Guntur, Andhra Pradesh 522007","Partha Dental Clinic - Lakshmipuram, Guntur",655,102,443,40,48,0,0,66,8,0,0,0
PDGurunanakRoad,Partha Dental Clinic,"Beside City Union Bank, Gurunanak Colony, Vijayawada, Andhra Pradesh 520008","Partha Dental, Gurunanak Road, Vijayawada",705,161,300,67,30,0,0,60,2,0,0,0
PDMuraliNagar,Partha Dental Clinic – Murali Nagar | Best Dental Clinic in Vizag | Invisalign Provider,"Above Spencer Super Market, Opp. Bank of India, Murali Nagar, Madhavadhara, Visakhapatnam, Andhra Pradesh 530007","Dental Clinic, Dental Implant Clinic",941,81,305,45,27,0,0,58,2,0,0,0
PDSrikakulam,"Partha Dental Clinic – Srikakulam | దంత వైద్యశాల | Invisalign Provider | Braces, RCT & Dental Implant Centre","Above Vivo Show Room, Opp. Reliance Trends, Day & Night Junction, Srikakulam, Andhra Pradesh 532001",,564,42,226,26,22,0,0,39,1,0,0,0
APKurnool,"Partha Dental Clinic – Gayatri Estates, Kurnool | దంత వైద్యశాల | Best Dentist In Kurnool | Invisalign Provider","R27Q+8QF Kurnool, Andhra Pradesh, Gayathri Estates, Beside SBI Bank, Viswa Bharathi Hospital Line, Kurnool, Andhra Pradesh 518001","Partha Dental Clinic - Kurnool, Andhra Pradesh",1061,93,349,45,74,0,0,107,16,0,0,0
PDBellandur,"Partha Dental Clinic - Bellandur, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Kanti Sweets & Axis Bank ATM, Beside Coffee Day, Bellandur, Bengaluru, Karnataka 560103",Above Kanti Sweets & Axis Bank ATM,1443,192,1327,192,36,0,0,105,11,0,0,0
PDSunCity,"Partha Dental Clinic - Sun City, Hyderabad | దంత వైద్యశాల |Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Opp. Bata Show Room, Sun City Main Road, Bandlaguda, Hyderabad, Telangana 500031","Partha Dental - Sun City, Bandlaguda, Hyderabad",825,95,601,124,80,0,0,118,6,0,0,0
PDBhimavaram,"Partha Dental Clinic – Bhimavaram | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Opp. Malabar Gold & Diamonds, Beside Abhiruchi hotel, Juvvalapalem Road, Bhimavaram, Andhra Pradesh 534202","Dentist Bhimavaram, Partha Dental Clinic Bhimavaram",667,54,282,23,43,0,0,53,12,0,0,0
PDDoddanekkundi,"Partha Dental Clinic -Doddanekkundi, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","XMGW+5MC Bengaluru, Karnataka, Bengaluru, Karnataka 560048","Beside HP Petrol Bunk, Opp. Rainbow Hospital,",1363,193,896,118,55,0,0,191,7,0,0,0
HYDKPHB,"Partha Dental Clinic - KPHB, Kukatpally | Aligners, Braces, Root Canal & Dental Implants","Opp JNTU Main Gate, Above ICICI Bank, KPHB Colony, Hyderabad, Telangana 500072",,1604,347,986,318,148,0,0,256,14,0,0,0
PDMadanapalle,"Partha Dental Clinic – Madanapalle | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Opp. Union Bank, CTM Road, Madanapalle, Andhra Pradesh 517325",,912,45,428,23,102,0,0,109,19,0,0,0
APVIZAG NAD JN,Partha Dental Clinic – NAD Junction | Best Dentist in Vizag,"Above Alfa Hotel, NAD Junction, Gopalapatnam Road, Visakhapatnam, Andhra Pradesh 530027",,1201,97,456,71,53,0,0,62,8,0,0,0
PDBotanicalGardenRoad,Partha Dental Clinic | Best Dental Clinic in Kondapur,"F963+G63 Hyderabad, Telangana, opposite FB bakery, near Government Hospital, Kondapur, Sri Ram Nagar, Masidbanda, Hyderabad, Telangana 500084","best dental clinic, best dental clinic in kondapur, best dentist, dental clinic near me, dentist near me",316,63,263,85,12,0,0,81,3,0,0,0
PDQcity,"Partha Dental Clinic | Best Dental Clinic in Q city, Hyderabad","TNGO’s Colony, My Home Vihanga Road, Behind Q City, Gachibowli, Hyderabad, Telangana 500032",,530,104,680,140,65,0,0,127,7,0,0,0
PDAnantapur,"Partha Dental Clinic – Anantapur | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Sai Nitin Complex, Sapthagiri Circle, Anantapur, Andhra Pradesh 515001",,1255,80,507,36,73,0,0,62,16,0,0,0
PDWhitefield,"Partha Dental Clinic -Whitefield, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Whitefield Main Road, above Bandhan Bank, next to Whitefield Police Station, Sathya Sai Layout, Bengaluru, Karnataka 560066",,911,176,1029,147,100,0,0,185,15,0,0,0
HYDHabsiguda,"Partha Dental Clinic - Habsiguda, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Sai Manjeera Complex, Above More Super Market, Street No: 8, Habsiguda, Hyderabad, Telangana 500007","Partha Dental Clinic, Habsiguda, Hyderabad",549,79,475,168,64,0,0,95,4,0,0,0
HYDSantoshNagar,"Partha Dental Clinic - Santosh Nagar, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces & Dental Implants","Above Agarwal Eye Hospital, beside Yadagiri Theater, Santosh Nagar, Hyderabad, Telangana 500059",,627,60,508,65,63,0,0,103,5,0,0,0
PDNagarbhavi,"Partha Dental Clinic - Nagarbhavi, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Vaibhav Restaurant, Near Nammoora Thindi Hotel, Naagarbhavi, Bengaluru, Karnataka 560072",,1279,140,594,121,54,0,0,123,3,0,0,0
PDKavali,"Partha Dental Clinic – Kavali | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Opp. TTD Kalyana Mandapam, GT Road, Kavali, Andhra Pradesh 524201",,327,47,143,19,21,0,0,41,1,0,0,0
PDSrikalahasti,Partha Dental Clinic – Srikalahasti | దంత వైద్యశాల | Invisalign Provider | Braces & Dental Implant Centre,"Above Celect Mobiles, Opp. Indian Bank, Nagari Street, Srikalahasti, Andhra Pradesh 517644",,319,30,235,23,33,0,0,67,2,0,0,0
PDDasarahalli,"Partha Dental Clinic - Dasarahalli, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Axis Bank & Kanti Sweets, Beside Adishwar Showroom, Tumkur Road, T-Dasarahalli, Bengaluru, Karnataka 560057",,2248,223,1101,138,135,0,0,163,26,0,0,0
PDBoduppal,"Partha Dental Clinic - Boduppal, Hyderabad | దంత వైద్యశాల |Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Opp. Union Bank, Warangal Hwy, Peerzadiguda, Hyderabad, Telangana 500098",,457,77,501,72,31,0,0,119,3,0,0,0
PDMangalagiri,Partha Dental Clinic – Mangalagiri | దంత వైద్యశాల | Invisalign Provider | Root Canal & Dental Implants,"Opp. Municipal Office, G.B road, Mangalagiri, Andhra Pradesh 522503",Partha Dental Clinic Mangalagiri,455,53,298,32,21,0,0,79,1,0,0,0
PDAlwal,"Partha Dental Clinic - Alwal, Hyderabad – | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Above Lenskart, Temple Alwal Road, Old Alwal, Secunderabad, Telangana 500010",,674,71,533,103,50,0,0,96,6,0,0,0
HYDVivekanandaNagarColony,"Partha Dental Clinic - Vivekananda Nagar, Kukatpally | దంత వైద్యశాల |Invisalign Provider","Above Lenskart, Beside Reliance Fresh,Vivekananda Nagar, Hyderabad, Telangana 500072",,352,94,485,228,30,0,0,79,2,0,0,0
PDVidyaranyapura,"Partha Dental Clinic -Vidyaranyapura, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","HMT Layout, 4th Block, Opp. Corporation Bank, Vidyaranyapura Main Road, Bengaluru, Karnataka 560097",,1026,102,386,75,38,0,0,80,5,0,0,0
PDNagole,"Partha Dental Clinic - Nagole, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, Root Canal & Implants","Opp. Mody Ford Show Room, Bandlaguda, Nagole, Hyderabad, Telangana 500068",,334,33,325,45,39,0,0,63,2,0,0,0
PDWarangal,"Partha Dental Clinic - Warangal | దంత వైద్యశాల |Invisalign Provider | Aligners, Braces, Root Canal & Dental Implants","Above ICICI Bank, Beside SBI Zonal Office, Warangal Central Complex, Warangal, Telangana 506002",,943,58,323,43,71,0,0,83,19,0,0,0
APVizag Ramatalkies,"Partha Dental Clinic – Ramatalkies, Vizag | Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Above Hyundai Car Showroom, Near Rama Talkies center, Visakhapatnam, Andhra Pradesh 530003",,1539,199,595,84,54,0,0,100,22,0,0,0
PDJubileeHills,Partha Dental Clinic | Best Dental Clinic in Jubilee Hills,"Above Axis Bank, Beside Ratnadeep supermarket, Road No: 10, Jubilee Hills, Hyderabad, Telangana 500033","Best dental Clinic, Dentist, Dentist near me, best dental clinic in jubilee hills, dental clinic, dentist near me",984,356,632,261,38,0,0,85,8,0,0,0
HYDVanasthalipuram,Partha Dental Clinic - Vanastalipuram | దంత వైద్యశాల | Invisalign Provider | Best Dental Clinic in Hyderabad,"Opp. Jeevan Sai Hospital, Double Road, Vanasthalipuram, Hyderabad, Telangana 500070",,905,174,676,195,59,0,0,99,7,0,0,0
PDNalgonda,"Partha Dental Clinic - Nalgonda | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, Root Canal & Implants","opp. Suraksha Hospital, Nataraj Theatre Road, Bottu Guda, Nalgonda, Telangana 508001",,550,27,304,25,21,0,0,73,9,0,0,0
PDGudur,"Partha Dental Clinic – Guduru | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Balaji Mobiles, DBR Plaza, Opp. Sangam Theater, GNT Road, Gudur, Andhra Pradesh 524101",,252,19,188,24,25,0,0,51,2,0,0,0
PDEluru,Partha Dental Clinic – Eluru | దంత వైద్యశాల | Invisalign Provider | Root Canal & Dental Implants Centre,"Opp. Tanishq Jewellers, Rama Mahal Center, R.R.Peta, Eluru, Andhra Pradesh 534002",,1003,54,464,40,54,0,0,100,9,0,0,0
PDLBNAGAR,"Partha Dental Clinic - LB Nagar, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Beside Chutneys Restaurant, Next to Croma showroom, L B Nagar, Hyderabad, Telangana 500074",,841,124,655,85,69,0,0,158,10,0,0,0
PDHindupur,"Partha Dental Clinic – Hindupur | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Union Bank, Near Lakshmi Talkies, Dhana Lakshmi Road, Hindupur, Andhra Pradesh 515201",,644,41,439,7,45,0,0,63,3,0,0,0
PDKarimnagar,"Partha Dental Clinic - Karimnagar | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, Root Canal & Dental Implants","Above Annapurna tiffin centre, Besides Veera Reddy Hospital,doctors street, Azmath Pura, Karimnagar, Telangana 505001",,937,87,535,34,80,0,0,108,12,0,0,0
PDBasavanagudi,"Partha Dental Clinic - Basavanagudi, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Indian Bank, Gandhi Bazaar Main Rd, Beside Corporation Bank, Basavanagudi, Bangalore, Karnataka 560004","Above Indian Bank, Beside Corporation Bank, Gandhi",2250,219,1030,249,54,0,0,86,16,0,0,0
PDThoraipakkam,"Partha Dental Clinic -Thoraipakkam, Chennai| Invisalign Provider | Braces, Root Canal & Dental Implants","Above Gupta Bhavan, Opp. Thalapakatti, Infront of puravankara IT, Rajiv Ghandi Road, Thoraipakkam, Chennai, Tamil Nadu 600097","Clear Aligners clinic in Thoraipakkam, Dental Clinic in Thoraipakkam, Dental Hospital in Thoraipakkam, Dental Implants clinic in Thoraipakkam, Dentist in Thoraipakkam, Hair Transplant Clinic in Thoraipakkam",261,56,269,43,17,0,0,51,6,0,0,0
PDProddatur,"Partha Dental Clinic – Proddatur | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Karur Vysya Bank, Gandhi Road, above muthoot finance, Venkateswara Pet, Proddatur, Andhra Pradesh 516360",,836,41,377,28,59,0,0,78,8,0,0,0
HYDNallakunta,"Partha Dental Clinic - Nallakunta, Hyderabad | దంత వైద్యశాల |Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Opp HDFC Bank, Near Shankar Mutt, Nallakunta, Hyderabad, Telangana 500044",,502,74,491,156,37,0,0,56,3,0,0,0
PDMancherial,"Partha Dental Clinic - Mancherial | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, Root Canal & Dental Implants","Opp. SBI Main Branch, Highway Road, Mancherial, Telangana 504208",,485,31,253,27,26,0,0,49,5,0,0,0
PDMalkajgiri,"Partha Dental Clinic - Malkajgiri, Secunderabad | దంత వైద్యశాల | Invisalign Provider | Braces, RCT & Dental Implants","beside Canara Bank, opp. Bata Showroom, Malkajgiri, Secunderabad, Telangana 500047",,637,88,405,87,39,0,0,109,0,0,0,0
APGuntur Kothapeta,"Partha Dental Clinic – Kothapet, Guntur | దంత వైద్యశాల | Invisalign Provider | Braces, RCT & Implants","Doctor's Plaza, Beside Reliance Fresh, Kothapeta Main Road, Guntur, Andhra Pradesh 522201","Partha Dental Clinic - Kothapet, Guntur",1333,151,470,74,56,0,0,91,12,0,0,0
PDMadhurawada,"Partha Dental Clinic – Madhurawada, Vizag | Invisalign Provider | Aligners, Braces, RCT & Implants","Opp. Delhi Public School, Beside Hanuman Temple, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",,757,72,385,36,75,0,0,85,7,0,0,0
PDShilpavalley,"Partha Dental Clinic | Camelot Layout | Invisalign Provider | Braces , RCT","F8JX+4XG Hyderabad, Telangana, 2nd Floor, Narne Estate Road - Circle, Kantivanam Colony, Near My Home Mangala, Camelot Layout,, ‎ Hyderabad, Telangana 500084",,207,56,302,151,28,0,0,73,5,0,0,0
PDRamamurthyNagar,"Partha Dental Clinic - Ramamurthy Nagar, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Poorvika Mobiles, Opp. Adiswar Showroom, Ramamurthy Nagar, Bengaluru, Karnataka 560016","Partha Dental, Ramamurthy Nagar",1338,112,707,87,57,0,0,118,5,0,0,0
PDNarasaraopet,"Partha Dental Clinic – Narasaraopet | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Beside Mother Theresa Hospital, Palnadu bus stand, Narasaraopeta, Andhra Pradesh 522601","Dental Clinic, Dentist",453,33,283,29,23,0,0,61,3,0,0,0
HYDManikonda,Partha Dental Clinic | Best Dental Clinic in Manikonda,"Near SBI Bank, Water pipeline Road, Manikonda, Hyderabad, Telangana 500089",,756,199,710,153,64,0,0,119,6,0,0,0
PDVizianagaram,"Partha Dental Clinic – Vizianagaram | దంత వైద్యశాల | Invisalign Provider | Aligners, RCT & Dental Implants","Beside Sree Krishna Bhavan Hotel, Near Kota Junction, Ziddu Vari Street, Vizianagaram, Andhra Pradesh 535002",Dental Clinic,988,67,301,33,48,0,0,53,8,0,0,0
HYDRajeevNagar,"Partha Dental Clinic - Rajeev Nagar, Hyderabad | దంత వైద్యశాల |Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Above Hdfc Bank, Rajeev nagar x Roads, Hyderabad, Telangana 500018",,484,86,546,113,33,0,0,140,3,0,0,0
PDHSRLayout,Partha Dental Clinic,"Beside Cars24 Showroom, Next to Tawa Ghar Ka Restaurant, HSR Layout, Bengaluru, Karnataka 560102",PDHSRLayout,1020,126,493,105,27,0,0,80,8,0,0,0
APVijayawada Eluru Road,"Partha Dental Clinic – Eluru Road, Vijayawada | దంత వైద్యశాల | Invisalign Provider | Root Canal","Sri Surya Towers, Opposite Dominos Pizza, Seetharampuram Signals, Eluru Road, Vijayawada, Andhra Pradesh 520002","Partha Dental Clinic - Eluru Road, Vijayawada",1865,301,762,85,67,0,0,151,16,0,0,0
PDMadinaguda,"Partha Dental Clinic - Madinaguda, Hyderabad | Invisalign Provider | Aligners, Braces, RCT & Implants","Suresh Square, above Apollo Clinic, beside Pranaam Hospital Lane, Madeenaguda, Telangana 500050",,793,156,563,125,63,0,0,114,8,0,0,0
PDMVPColony,Partha Dental Clinic – MVP Colony | Best Dental Clinic in Vizag,"Beside Pollocks School, MVP Double Rd, Visakhapatnam, Andhra Pradesh 530017",,1485,145,462,72,31,0,0,58,10,0,0,0
PDMadhapur,Partha Dental Clinic | Best Dental Clinic in Madhapur,"Above Pizza Hut, opp. Karachi Bakery, Hitech City Road, Madhapur, Telangana 500081",,742,225,1041,159,65,0,0,109,12,0,0,0
PDBannerghattaRoad,"Partha Dental Clinic - Bannerghatta Road Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Behind Royal Meenakshi Mall, Opp. Cave Temple & Hulimavu Police Station, Bannerghatta Road, Bangalore, Karnataka 560076",,1517,182,811,126,47,0,0,111,8,0,0,0
PDHayathnagar,"Partha Dental Clinic - Hayathnagar, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Above SBI Bank, Opp.more Supermarket, Hayathnagar, Telangana 501505",,452,59,450,79,56,0,0,105,7,0,0,0
PDKothagudem,"Partha Dental Clinic - Kothagudem | దంత వైద్యశాల |Invisalign Provider | Aligners, Braces, Root Canal & Dental Implants Centre","Opp. Ganesh Temple, M G road, Kothagudem, Telangana 507101",Partha Dental Clinic Kothagudem,379,22,239,24,25,0,0,49,1,0,0,0
APNellore,"Partha Dental Clinic – Nellore | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Opp. LIC Office, Near Babu Ice Cream, Brindavanam, Nellore, Andhra Pradesh 524001","Partha Dental Clinic, Nellore",573,75,296,32,25,0,0,60,11,0,0,0
PDVadapalani,"Partha Dental Clinic -Vadapalani, Chennai | Invisalign Provider | Braces, Root Canal & Dental Implants","Beside Vasanta Bhavan, Near Thiru Nagar Bus Stop, Opp. Hyundai Showroom, JN Salai, Vadapalani, Chennai, Tamil Nadu 600026","Partha Dental Skin Hair Clinic Vadapalani, Chennai",917,166,386,52,39,0,0,137,13,0,0,0
PDTenali,"Partha Dental Clinic – Tenali | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Near Lakshmi Theatre, Prakasham road, Near RTC Bus stand, Tenali, Andhra Pradesh 522201","Partha Dental Clinic, Tenali",883,46,307,23,43,0,0,72,6,0,0,0
HYDChampapet,"Partha Dental Clinic - Champapet, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Opp Sama Narsimha Reddy Gardens, APSRTC Officers Colony, Champapet, Hyderabad, Telangana 500079",,426,62,431,115,33,0,0,116,5,0,0,0
HYDPadmaraoNagar,"Partha Dental Clinic - Padmarao Nagar, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Braces, RCT & Dental Implants","Above Ratnadeep Super Market, Near park, Padmarao Nagar, Hyderabad, Telangana 500025",,815,96,671,181,76,0,0,136,6,0,0,0
